delta;t_regular_lambda_re;t_regular_lambda_im;r_regular_lambda_re;r_regular_lambda_im;t_random_lambda_re;t_random_lambda_im;r_random_lambda_re;r_random_lambda_im;t_regular_dualv_re;t_regular_dualv_im;r_regular_dualv_re;r_regular_dualv_im;t_random_dualv_re;t_random_dualv_im;r_random_dualv_re;r_random_dualv_im
0.017167999999999999;0.033570549229182844;-0.90567233360956489;0.22874502106076572;0.0091830759961786003;-0.090578294441406443;-0.91974242936177231;0.11276433442265089;-0.0054706710437676101;0.033570549229374469;-0.90567233361381028;0.22876011231748072;0.0087903406358733945;0.029566419242137546;-0.90545727254735264;0.22868107275572344;0.008465954672853479
0.017171999999999996;0.034270619793777726;-0.90565226076005434;0.22869021574081916;0.0093453152333472945;-0.089814477847348306;-0.91981254184927064;0.11275894141038244;-0.0053870309816577257;0.034270619793812525;-0.90565226076111516;0.22870558911466968;0.0089525819962542608;0.03026651487323017;-0.90544039274062371;0.22862740328217887;0.0086278643553733044
0.017175999999999997;0.034970467031524739;-0.90563167898976005;0.22863518123525212;0.0095074231803952067;-0.089050863064031455;-0.91988200506740825;0.1127534104578622;-0.0053034249557398772;0.034970467031743314;-0.90563167899504438;0.2286508366317721;0.0091146925040300544;0.030966389821625036;-0.90542300302560297;0.22857350456409115;0.0087896449532633737
0.017179999999999997;0.0356700907306483;-0.90561058875087352;0.22857991793661303;0.0096693995709654281;-0.088287450505972837;-0.91995081961064984;0.1127477417427039;-0.0052198531801797964;0.035670090730554625;-0.90561058874812572;0.2285958552590466;0.0092766718921812995;0.031666043873250865;-0.90540510383292783;0.22851937698834981;0.0089512961978866438
0.017183999999999998;0.036369490678256622;-0.90558899045622943;0.22852442623278685;0.0098312441389278842;-0.087524240586790009;-0.92001898607326138;0.11274193544268954;-0.0051363158685766973;0.036369490678285488;-0.90558899045636188;0.22854064538522761;0.0094385198944128019;0.032365476814580352;-0.90538669559698448;0.22846502094049517;0.0091128178212827766
0.017187999999999998;0.037068666662779526;-0.90556688454547785;0.22846870651382037;0.0099929566193504606;-0.086761233719216069;-0.92008650504926126;0.11273599173576666;-0.0050528132339678856;0.037068666662869579;-0.90556688454768575;0.22848520740006972;0.0096002362454354947;0.033064688431997849;-0.90536777874385033;0.22841043680696271;0.0092742095565215305
0.017191999999999999;0.037767618472880682;-0.90554427145570493;0.22841275917093784;0.01015453674837891;-0.085998430315096061;-0.92015337713244572;0.11272991080004903;-0.0049693454888273501;0.037767618472802265;-0.90554427145354077;0.22842954169280547;0.0097618206808002591;0.033763678512412264;-0.90534835370329414;0.22835562497371237;0.0094354711375001302
0.017195999999999999;0.038466345897078077;-0.9055211516105216;0.22835658459227448;0.01031598426259147;-0.085235830785386407;-0.9202196029164047;0.11272369281381422;-0.0048859128450664422;0.038466345897024724;-0.90552115160918001;0.22837364865218268;0.0099232729368668188;0.034462446843275027;-0.90532842090880949;0.22830058582623375;0.0095966022989239681
0.017199999999999997;0.039164848724404122;-0.90549752544033735;0.22830018316805287;0.010477298899763756;-0.084473435540163788;-0.92028518299449502;0.11271733795550493;-0.0048025155140362583;0.039164848724450606;-0.90549752544153028;0.22831752866787197;0.010084592751037826;0.035160993211950965;-0.9053079807855805;0.22824531975095433;0.0097576027765319904
0.017203999999999997;0.039863126744386121;-0.90547339337807808;0.22824355528865747;0.010638480398597727;-0.083711244988618608;-0.92035011795985;0.1127108464037235;-0.0047191537065240973;0.039863126744369204;-0.90547339337722976;0.22826118212767516;0.010245779861297995;0.035859317406141435;-0.9052870337585921;0.22818982713240668;0.0099184723066438156
0.017207999999999998;0.040561179746938694;-0.9054487558584694;0.22818670134346331;0.010799528498526313;-0.082949259539065054;-0.9204144084053667;0.11270421833723178;-0.0046358276327605509;0.040561179746801068;-0.90544875585475215;0.22820460942265455;0.010406834007042107;0.036557419214314824;-0.90526558026437354;0.22813410835840434;0.01007921062697285
0.017211999999999998;0.041259007521503521;-0.90542361329761467;0.22812962172141399;0.01096044293979675;-0.082187479598922822;-0.92047805492373369;0.11269745393495453;-0.0045525375024110604;0.041259007521589793;-0.90542361330006205;0.22814781094145778;0.010567754928182006;0.037255298424868771;-0.90524362072733389;0.22807816381438262;0.010239817475766636
0.017215999999999999;0.041956609859327948;-0.90539796614523249;0.22807231681372128;0.011121223463913688;-0.081425905574751975;-0.92054105810739795;0.11269055337597073;-0.0044692835245853891;0.041956609859226529;-0.90539796614296919;0.22809078707231864;0.010728542365432166;0.037952954826603248;-0.90522115557551841;0.22802199388531938;0.010400292592059525
