delta;qdRe1;qdRe2;qdRe3;qdRe4;qdIm1;qdIm2;qdIm3;qdIm4
2.0244465099768061e-06;0.00027792211102146974;1.0601940526278821e-05;-1.0601940526271152e-05;-0.00027792211102147028;1.3906737162392261e-06;2.65195765315221e-08;-2.6519576633376227e-08;-1.3906737163496402e-06
2.0526377527092522e-06;0.00027792352100964869;1.0675476430636296e-05;-1.0675476430630855e-05;-0.00027792352100964815;1.3906738169604261e-06;2.6703654424226017e-08;-2.6703654424329338e-08;-1.3906738169621648e-06
2.0812215699863371e-06;0.00027792495061796632;1.0749522006668127e-05;-1.0749522006663264e-05;-0.00027792495061796589;1.390673919121026e-06;2.688901114487015e-08;-2.6889011149404972e-08;-1.3906739191208225e-06
2.1102034285685966e-06;0.0002779264001192355;1.0824080778931895e-05;-1.0824080778934389e-05;-0.00027792640011923636;1.3906740227378149e-06;2.7075652701637649e-08;-2.7075652596233932e-08;-1.3906740226287895e-06
2.1395888713434217e-06;0.00027792786979005825;1.0899156296099999e-05;-1.089915629609531e-05;-0.00027792786979005766;1.3906741279401504e-06;2.7263595165008651e-08;-2.7263595164586716e-08;-1.3906741279407918e-06
2.1693835183851866e-06;0.00027792935991086885;1.0974752131442684e-05;-1.097475213145277e-05;-0.0002779293599108682;1.3906742346383729e-06;2.745284012277992e-08;-2.7452840130718727e-08;-1.3906742346383778e-06
2.1995930680300747e-06;0.00027793087076600072;1.1050871882526942e-05;-1.1050871882523565e-05;-0.00027793087076600191;1.3906743429604142e-06;2.764340108843963e-08;-2.7643401088341665e-08;-1.3906743429617311e-06
2.2302232979659364e-06;0.00027793240264373855;1.1127519171815595e-05;-1.1127519171818821e-05;-0.00027793240264373822;1.3906744528168482e-06;2.7835285403523878e-08;-2.7835285520493801e-08;-1.3906744529281422e-06
2.2612800663372794e-06;0.0002779339558363568;1.1204697646367073e-05;-1.120469764636744e-05;-0.00027793395583635756;1.3906745643404081e-06;2.8028501124330069e-08;-2.8028501122682233e-08;-1.3906745643402285e-06
2.2927693128656486e-06;0.00027793553064019605;1.1282410978647147e-05;-1.128241097864318e-05;-0.00027793553064019686;1.3906746775483719e-06;2.8223062543285738e-08;-2.8223062664185305e-08;-1.3906746776583185e-06
2.3246970599856503e-06;0.00027793712735570895;1.1360662865850544e-05;-1.1360662865861247e-05;-0.00027793712735570792;1.3906747924610105e-06;2.8418973629985667e-08;-2.8418973628123045e-08;-1.3906747924600123e-06
2.357069413996728e-06;0.00027793874628751289;1.1439457031019959e-05;-1.1439457031018618e-05;-0.00027793874628751365;1.3906749089911771e-06;2.8616245032802305e-08;-2.8616245034883121e-08;-1.3906749089903894e-06
2.3898925662310478e-06;0.00027794038774446117;1.1518797222395211e-05;-1.151879722239349e-05;-0.00027794038774446177;1.3906750272703175e-06;2.8814887340469903e-08;-2.8814887334585496e-08;-1.3906750272706478e-06
2.4231727942376005e-06;0.00027794205203968635;1.1598687214134782e-05;-1.1598687214142859e-05;-0.00027794205203968711;1.390675147319204e-06;2.9014910021524742e-08;-2.901491002342331e-08;-1.3906751473191078e-06
2.4569164629827902e-06;0.00027794373949067053;1.1679130806003281e-05;-1.1679130806005194e-05;-0.00027794373949067112;1.39067526915958e-06;2.9216322635832202e-08;-2.9216322626812155e-08;-1.3906752691577993e-06
2.491130026067791e-06;0.00027794545041930074;1.1760131824277513e-05;-1.1760131824272456e-05;-0.00027794545041930074;1.3906753928130065e-06;2.9419134570234041e-08;-2.9419134567010568e-08;-1.3906753928137028e-06
2.5258200269627847e-06;0.00027794718515192869;1.1841694121016899e-05;-1.1841694121011493e-05;-0.00027794718515192885;1.3906755183065749e-06;2.9623355539627847e-08;-2.9623355548010961e-08;-1.3906755183049969e-06
2.5609931002584569e-06;0.00027794894401943617;1.1923821574794461e-05;-1.1923821574791688e-05;-0.00027794894401943535;1.3906756457690504e-06;2.982899652217066e-08;-2.9828996409935737e-08;-1.3906756456570063e-06
2.5966559729348724e-06;0.00027795072735729349;1.2006518090933959e-05;-1.2006518090938091e-05;-0.00027795072735729436;1.3906757750039421e-06;3.0036064529567234e-08;-3.0036064413977009e-08;-1.390675774889365e-06
2.6328154656480201e-06;0.00027795253550562897;1.2089787601400205e-05;-1.2089787601389159e-05;-0.00027795253550563006;1.390675906252762e-06;3.0244574646468198e-08;-3.0244574650101487e-08;-1.3906759062543912e-06
2.6694784940343236e-06;0.00027795436880928955;1.2173634065046157e-05;-1.2173634065045276e-05;-0.00027795436880928901;1.3906760393244802e-06;3.0454528972853338e-08;-3.0454528973304528e-08;-1.3906760393256476e-06
2.7066520700332412e-06;0.00027795622761789843;1.2258061468006119e-05;-1.2258061468016107e-05;-0.00027795622761789994;1.3906761745724152e-06;3.0665946411187334e-08;-3.0665946419896183e-08;-1.390676174572527e-06
