delta;qdRe1;qdRe2;qdIm1;qdIm2
5.1845935438929128e-06;3.530832353590886e-06;-3.5308323535909585e-06;4.6327087070410034e-09;-4.6327087072530726e-09
5.2567911220184196e-06;3.5670286935492281e-06;-3.5670286935494462e-06;4.6827104911876926e-09;-4.6827104919411292e-09
5.3299940808440932e-06;3.603589086318814e-06;-3.6035890863194442e-06;4.7332428125519883e-09;-4.7332428115547964e-09
5.4042164207059153e-06;3.640517116161516e-06;-3.6405171161608621e-06;4.7843112354750972e-09;-4.7843112404352609e-09
5.4794723369002811e-06;3.6778164016458172e-06;-3.6778164016458523e-06;4.8359214011991001e-09;-4.8359213993343024e-09
5.5557762223988777e-06;3.7154905959649341e-06;-3.7154905959654263e-06;4.8880789876597971e-09;-4.8880789897837942e-09
5.6331426706013522e-06;3.7535433872575549e-06;-3.7535433872574532e-06;4.9407897677118289e-09;-4.9407897675982007e-09
5.7115864781264349e-06;3.7919784988965895e-06;-3.7919784988965552e-06;4.9940595413407548e-09;-4.9940595397279147e-09
5.7911226476417579e-06;3.830799689833991e-06;-3.8307996898362213e-06;5.0478941875212742e-09;-5.0478941859050807e-09
5.8717663907332617e-06;3.8700107549175612e-06;-3.8700107549182659e-06;5.1022996485346855e-09;-5.1022996469598949e-09
5.95353313081437e-06;3.9096155252105124e-06;-3.9096155252102913e-06;5.1572819152176417e-09;-5.1572819142675809e-09
6.0364385060758637e-06;3.9496178683032305e-06;-3.9496178683032135e-06;5.2128470757709561e-09;-5.2128470777428901e-09
6.1204983724767031e-06;3.990021688674626e-06;-3.9900216886744871e-06;5.2690012367389964e-09;-5.2690012355124712e-09
6.2057288067765008e-06;4.0308309279984753e-06;-4.0308309279978011e-06;5.3257506184119708e-09;-5.3257506165880078e-09
6.2921461096103505e-06;4.0720495654828683e-06;-4.072049565484282e-06;5.3831014709318668e-09;-5.3831014688190548e-09
6.3797668086062827e-06;4.1136816182179282e-06;-4.113681618217962e-06;5.441060129596049e-09;-5.4410601279326914e-09
6.4686076615463209e-06;4.1557311414974676e-06;-4.1557311414971542e-06;5.499632991127981e-09;-5.49963299282409e-09
6.5586856595714357e-06;4.1982022291782007e-06;-4.1982022291793925e-06;5.5588265283459812e-09;-5.5588265272461379e-09
6.650018030431118e-06;4.2410990140109716e-06;-4.2410990140113231e-06;5.6186472691544927e-09;-5.6186472703490548e-09
6.7426222417783489e-06;4.284425668000307e-06;-4.2844256680000309e-06;5.6791018244660298e-09;-5.6791018244720393e-09
6.8365160045102388e-06;4.3281864027520347e-06;-4.3281864027522372e-06;5.7401968724364406e-09;-5.7401968735590339e-09
6.9317172761554005e-06;4.3723854698173855e-06;-4.3723854698166342e-06;5.8019391555348244e-09;-5.8019391542158394e-09
7.0282442643083526e-06;4.4170271610608822e-06;-4.4170271610605806e-06;5.8643354990122114e-09;-5.8643354991151035e-09
7.1261154301117454e-06;4.462115809014453e-06;-4.4621158090147402e-06;5.9273927977609993e-09;-5.9273927983597482e-09
7.2253494917872216e-06;4.5076557872484948e-06;-4.5076557872472335e-06;5.9911180206058748e-09;-5.9911180198163938e-09
7.3259654282152304e-06;4.553651510717612e-06;-4.5536515107163169e-06;6.0555182011995848e-09;-6.0555182026207084e-09
7.4279824825649105e-06;4.6001074361401243e-06;-4.6001074361412873e-06;6.1206004638699212e-09;-6.1206004645224848e-09
7.5314201659743757e-06;4.6470280623768781e-06;-4.6470280623768383e-06;6.1863719963799394e-09;-6.1863719961691465e-09
7.636298261282242e-06;4.6944179307946007e-06;-4.6944179307950547e-06;6.2528400717821521e-09;-6.2528400701496409e-09
7.7426368268112769e-06;4.7422816256403163e-06;-4.742281625639022e-06;6.3200120372022456e-09;-6.3200120391215189e-09
7.8504562002045093e-06;4.7906237744285042e-06;-4.7906237744281544e-06;6.3878953237852638e-09;-6.3878953250671381e-09
7.9597770023149783e-06;4.8394490483190365e-06;-4.8394490483181268e-06;6.4564974313584921e-09;-6.4564974306616983e-09
8.0706201411495076e-06;4.8887621625183667e-06;-4.888762162518016e-06;6.5258259413153761e-09;-6.5258259433617374e-09
8.1830068158673889e-06;4.9385678766369471e-06;-4.9385678766367413e-06;6.595888524042816e-09;-6.5958885245831957e-09
8.2969585208349151e-06;4.9888709951079702e-06;-4.9888709951075094e-06;6.6666929256268246e-09;-6.6666929253010875e-09
8.4124970497361175e-06;5.0396763675901005e-06;-5.0396763675891069e-06;6.7382469794313085e-09;-6.7382469793059568e-09
8.5296444997410168e-06;5.0909888893240272e-06;-5.0909888893232751e-06;6.8105585987961375e-09;-6.8105585950083998e-09
8.6484232757317263e-06;5.1428135015804377e-06;-5.1428135015813643e-06;6.8836357761297558e-09;-6.8836357787602637e-09
8.7688560945874269e-06;5.1951551920387254e-06;-5.1951551920391015e-06;6.9574866061664192e-09;-6.9574866034868718e-09
8.8909659895291672e-06;5.2480189952089757e-06;-5.2480189952087843e-06;7.0321192462622451e-09;-7.0321192452507711e-09
9.0147763145249172e-06;5.3014099928242236e-06;-5.3014099928246056e-06;7.1075419548374914e-09;-7.1075419575139584e-09
9.1403107487562225e-06;5.3553333142817068e-06;-5.3553333142820524e-06;7.1837630808185251e-09;-7.1837630827767056e-09
9.2675933011468825e-06;5.4097941370375918e-06;-5.4097941370364365e-06;7.260791053120213e-09;-7.2607910536626557e-09
9.3966483149546905e-06;5.4647976870339876e-06;-5.4647976870340968e-06;7.3386343883238432e-09;-7.3386343880991454e-09
9.5275004724273e-06;5.5203492391400526e-06;-5.5203492391403151e-06;7.4173017047866507e-09;-7.4173017057000608e-09
9.6601747995226456e-06;5.5764541175462348e-06;-5.5764541175463881e-06;7.4968017059333456e-09;-7.4968017079016533e-09
9.7946966706953857e-06;5.6331176962379783e-06;-5.6331176962402788e-06;7.577143184655386e-09;-7.5771431849752915e-09
9.9310918137497998e-06;5.6903453993958418e-06;-5.6903453993968964e-06;7.6583350360836026e-09;-7.6583350368963473e-09
1.0069386314760271e-05;5.7481427018427578e-06;-5.7481427018420811e-06;7.7403862379779506e-09;-7.7403862380623064e-09
1.0209606623060476e-05;5.8065151294969648e-06;-5.8065151294967225e-06;7.8233058713777127e-09;-7.8233058719071695e-09
1.0351779556301762e-05;5.8654682598004311e-06;-5.8654682598001634e-06;7.9071031104629057e-09;-7.9071031124828477e-09
1.0495932305582267e-05;5.9250077221786594e-06;-5.9250077221791321e-06;7.9917872321732045e-09;-7.9917872329076995e-09
1.0642092440647246e-05;5.9851391984932016e-06;-5.9851391984928527e-06;8.0773675979627003e-09;-8.0773675949536638e-09
1.0790287915161837e-05;6.0458684234819977e-06;-6.0458684234813116e-06;8.1638536810625081e-09;-8.1638536804640396e-09
1.0940547072057435e-05;6.1072011852306175e-06;-6.107201185230233e-06;8.2512550583384421e-09;-8.2512550588027005e-09
1.1092898648952227e-05;6.1691433256391443e-06;-6.169143325639057e-06;8.3395813933320056e-09;-8.3395813914140169e-09
1.1247371783647507e-05;6.2317007408718626e-06;-6.2317007408724174e-06;8.4288424624949924e-09;-8.4288424627036471e-09
1.1403996019700332e-05;6.2948793818386195e-06;-6.2948793818397909e-06;8.5190481397151718e-09;-8.5190481390749456e-09
1.1562801312073753e-05;6.3586852546654764e-06;-6.3586852546656958e-06;8.6102084148812283e-09;-8.6102084186810181e-09
1.1723818032865997e-05;6.4231244211596445e-06;-6.4231244211583731e-06;8.7023333711544579e-09;-8.7023333705819679e-09
1.1887076977119033e-05;6.4882029993052727e-06;-6.4882029993039183e-06;8.7954332001970322e-09;-8.7954332011784125e-09
1.2052609368708414e-05;6.5539271637363397e-06;-6.5539271637364448e-06;8.8895182053301492e-09;-8.8895182066678739e-09
1.2220446866314887e-05;6.6203031462301e-06;-6.6203031462308497e-06;8.9845988079723852e-09;-8.984598808042712e-09
1.2390621569479157e-05;6.6873372361858893e-06;-6.6873372361858588e-06;9.0806855111813323e-09;-9.0806855113597138e-09
1.2563166024741215e-05;6.7550357811304573e-06;-6.7550357811293036e-06;9.177788971909284e-09;-9.1777889717584062e-09
1.2738113231864785e-05;6.8234051872136463e-06;-6.8234051872132804e-06;9.2759199130215971e-09;-9.2759199137292914e-09
1.2915496650148827e-05;6.8924519196961953e-06;-6.892451919695787e-06;9.3750892087192545e-09;-9.3750892101635979e-09
1.3095350204826676e-05;6.962182503466277e-06;-6.9621825034654774e-06;9.4753078370639757e-09;-9.4753078370446246e-09
1.3277708293554291e-05;7.03260352355123e-06;-7.0326035235503668e-06;9.5765868753795871e-09;-9.5765868769456534e-09
1.346260579298911e-05;7.1037216256092804e-06;-7.1037216256097132e-06;9.6789375499351004e-09;-9.6789375471958355e-09
1.3650078065460137e-05;7.1755435164725792e-06;-7.1755435164738396e-06;9.7823711833910078e-09;-9.7823711809970611e-09
1.3840160965731302e-05;7.2480759646319405e-06;-7.2480759646328375e-06;9.8868992172415976e-09;-9.8868992195729846e-09
