NAtoms;sigma;Deltac;delta;tNoInteractionAbs;tNoInteractionArg;t_storage;t_retrieval;t_to_pass_ensemble;P_success;F_swap;F_CJ;F_CJ_conditional;P_success_tNoInteraction_one;F_swap_tNoInteraction_one;F_CJ_tNoInteraction_one;F_CJ_conditional_tNoInteraction_one;single_photon_storage_retrieval_eff
3548;0.17568282825741344;-4.1981735082054845;0.010900983867777849;0.23146396127147983;0.019657120539347241;104.14262592913623;88.700000000000003;88.700000000000003;0.046581235789915014;0.95032750357420503;0.043800589954138575;0.94030545157029821;0.47489362825088721;0.69681402174448093;0.33044569943483659;0.69583098145983435;0.90511693651967251
3630;0.1746695382298277;-4.2206774504566908;0.010461420021776238;0.23220072492621058;0.017189519955056441;106.22393939595955;90.750000000000014;90.750000000000014;0.047202497631876332;0.9554279846712147;0.044623332589471015;0.94535956417985012;0.47602504868893553;0.69975532085047176;0.33262580608378689;0.6987569393667461;0.90652222083785738
3715;0.17368753978626053;-4.3107334883595225;0.010195849264670192;0.23719652987096529;0.017021716711598932;108.39005529161633;92.875000000000014;92.875000000000014;0.049269023108412781;0.95441886828280509;0.046540546925293205;0.94462085888904745;0.47769628254721824;0.70311055915645559;0.3353905619774975;0.70210000418905416;0.9079370490752936
3801;0.17266749182355856;-4.3442471744204258;0.0098081357506039617;0.23865743035447132;0.015368283994984737;110.55416408615967;95.025000000000006;95.025000000000006;0.050131723094054462;0.95787538931545113;0.047529054453674238;0.94808339949741538;0.47887646912920068;0.70587933032382044;0.33753811201465839;0.70485424482945458;0.90927966980523445
3890;0.17166211852563715;-4.4046370750004717;0.0094886186869641773;0.24220126820671339;0.015615356974313536;112.79541488385618;97.25;97.25;0.051798655912402097;0.95982140069286082;0.049218339031753808;0.95018564024109187;0.48039973954382131;0.70952981786546543;0.34035882026104902;0.70849085094060926;0.91062048951206265
3981;0.17071239111704925;-4.4941437957519961;0.0092391249058539453;0.2459045971792001;0.019633994109093222;115.10064305267564;99.525000000000006;99.525000000000006;0.053475945489948273;0.96002045465706087;0.050833530199954839;0.95058684300420415;0.48188302855218995;0.71244587847004015;0.34281110629414696;0.71139900345550167;0.91195951043132895
4073;0.16961508450789547;-4.5664842007393309;0.0089634883450372699;0.24918865306042487;0.016099736071470052;117.35580434096499;101.825;101.825;0.054992539638331853;0.96021070488762628;0.052289644768545751;0.95084979003402703;0.4832241387748723;0.71505649314406838;0.34501777759378521;0.71399118940646378;0.913166242216218
4168;0.16867939012063285;-4.636451470636791;0.008685705983328882;0.25313380795267448;0.018305640933764866;119.74820708688736;104.2;104.2;0.056889081648145684;0.96154092762801535;0.054181466176830062;0.95240535806040949;0.4848163569817221;0.71870423239302783;0.34791985353309884;0.7176322508982832;0.91444947815726729
4265;0.16764873357427859;-4.6975439397329728;0.0083994053969269587;0.25690830109756774;0.016142783263754647;122.13938424592953;106.62500000000001;106.62500000000001;0.058750680642919086;0.96294743877573674;0.056045714183813079;0.95395855112647066;0.48635700694504197;0.72228290086432112;0.35075924656433677;0.72119706626118851;0.91564707666035672
4365;0.16660856755057465;-4.7784990636401634;0.0081528906177301512;0.25930174573760789;0.016561866991222893;124.59354356952952;109.12500000000001;109.12500000000001;0.059956620576201519;0.96345686802728692;0.057231023455478577;0.95454051454986755;0.48754590857614699;0.72435199112169912;0.35262025521800117;0.72325549043742499;0.9168233929296169
4466;0.16572360711015799;-4.8315625516467549;0.0078700158497136598;0.26299552220279432;0.015262305518001226;127.12737645593741;111.65000000000001;111.65000000000001;0.061882348814791481;0.96567065413661735;0.0592199292873501;0.95697610742911887;0.48915301654600801;0.72828498093149685;0.35570475635565368;0.72718504092511782;0.91803901374575003
4570;0.16467414177022882;-4.903266462475119;0.0076233452533749566;0.26651489837944276;0.013821728399750557;129.6525078675146;114.25;114.25;0.063675925216678086;0.96657773601467756;0.061002620986854134;0.95801703358487267;0.49060390668337639;0.73141433962587799;0.35828962177697499;0.73030323830708144;0.91914285557464703
4677;0.16367443360100883;-5.0421543446146515;0.0074824642049800411;0.27241083104942004;0.016440099415387908;132.26618226806406;116.92500000000001;116.92500000000001;0.066436659690627731;0.96434418636999686;0.063516111818495757;0.956040115717257;0.49242051754405558;0.73461494833089036;0.36118777833669335;0.73349457520193362;0.92025790201534141
4786;0.16271659892227031;-5.0573033866249597;0.0071618011839662578;0.27349357913403893;0.014296904963931815;134.93649243065025;119.64999999999999;119.64999999999999;0.067322785842956381;0.96843423196967426;0.06464247172721771;0.96018711819218194;0.4935463562505828;0.73762837070385878;0.36349857595327906;0.7365034132046635;0.92136400550690245
4897;0.16173176477841469;-5.149306755909751;0.0069621454626172348;0.27791992762904694;0.010369382288079121;137.62946724819562;122.42500000000003;122.42500000000003;0.069583878538035548;0.96841798159731163;0.066825630518753704;0.96036081809130336;0.49517037713311396;0.74092219788385771;0.36632207546568241;0.73978996398487307;0.92242026445232606
5011;0.16070680013574004;-5.2561042603347996;0.0067841922809202763;0.28162186203276146;0.016012040739516585;140.3653539155421;125.27500000000002;125.27500000000002;0.071535252087643969;0.96864114775362675;0.068725742523041533;0.96072552367383479;0.49663241600687952;0.74376286514096546;0.36881050248717784;0.74262269356591692;0.92343257139376145
5128;0.15975105634617626;-5.3431063708167885;0.0065823552044534349;0.28622313685404766;0.01495277458594599;143.19963880974149;128.19999999999999;128.19999999999999;0.073998268118920116;0.96917804344193681;0.071147464107853553;0.96147471983418409;0.49836415940038931;0.74744417088564885;0.37192935331641391;0.74630036350106632;0.92446757185290362
5248;0.15876868914521736;-5.4045551356178123;0.0063536214587664886;0.28865027753444139;0.014071423127499642;146.08209561286583;131.20000000000002;131.20000000000002;0.075487000891271069;0.97121445323055255;0.072741206150575902;0.96362559502595524;0.49966519190457181;0.7503707660738429;0.37436129268381313;0.74922427807480785;0.9254652011280039
5370;0.15781667110222738;-5.4775346812110737;0.0061471356225046032;0.29304367706180062;0.012109291434287503;149.01413585991321;134.25000000000003;134.25000000000003;0.077938934304320931;0.97210133627257356;0.075187463366696405;0.96469709315140095;0.50138366718807492;0.75409028362360364;0.37751147297590371;0.75293931111300982;0.92644779663560362
5495;0.15683179741426989;-5.580376584486185;0.0059785212021829081;0.29674647046123082;0.013242668553366173;151.98870343936156;137.375;137.375;0.080024658097024873;0.97249150661506467;0.077242850116857914;0.96523811477214694;0.50288659504346622;0.75700251782369465;0.38010596842541561;0.75584828104746304;0.92738826335589974
5623;0.15593680452951933;-5.675838143595576;0.0058047089090187539;0.30153767482894911;0.013211534617688475;155.07472676153725;140.57500000000002;140.57500000000002;0.082746797966598548;0.97310060668225073;0.079939003466401856;0.96606763561618325;0.50472357848254479;0.76081450801935724;0.3834190652130578;0.75966148909827058;0.92836513221612871
5754;0.15502291195309206;-5.7093576977352161;0.0055728426893494939;0.30346443004906354;0.0085480749029660102;158.21047121665774;143.84999999999999;143.84999999999999;0.084040713289822974;0.97491686038919256;0.081350626373778462;0.96799067010810014;0.5059045186922656;0.76328294567896349;0.38556620928812707;0.76213236893948644;0.92930821825043319
5888;0.1540042477130189;-5.8458831617931395;0.005447797200244929;0.30833910479659232;0.0096961229479409598;161.34231640602556;147.20000000000002;147.20000000000002;0.086809172012627792;0.97476035619753376;0.084031905169905649;0.96800721884182761;0.50767279813265775;0.76667995905360664;0.38863632582263968;0.7655252108289774;0.93016039474910051
6025;0.15308945186727194;-5.927405627290395;0.0052730952473497815;0.31194414958700811;0.011124844265847584;164.59440492406407;150.625;150.625;0.08903348743324388;0.97598128656644823;0.086307964556278816;0.9693876657475804;0.50926233250468533;0.76997619749741264;0.39153282125430439;0.76882344572519934;0.93105817172594607
6165;0.15214118305888388;-6.0163132505814101;0.0051097531484404681;0.31602784606375234;0.0090531032150439235;167.88315174019368;154.12500000000003;154.12500000000003;0.091501464938590626;0.97652803315572856;0.088765153878565373;0.97009543987233782;0.51092036494072723;0.77320778713967853;0.39445901307163239;0.77205576473232629;0.93191111773507551
6309;0.1512045350066181;-6.1190619306961587;0.0049606343099033359;0.32063321726765781;0.0095256154115608734;171.2631231815389;157.72499999999999;157.72499999999999;0.094321503728049261;0.97725261113578854;0.091586080803068015;0.97099894703896894;0.51275457156515447;0.77689112710082531;0.39776462202793156;0.77574076192783115;0.932759044922846
6456;0.15029361073367895;-6.2307371931473288;0.0048220977499046332;0.32408855917060952;0.00987059475045058;174.71555971186575;161.40000000000001;161.40000000000001;0.096487161273289226;0.97773238175669208;0.093748577419414503;0.97161711653928773;0.5142579469267976;0.77960499138570649;0.40032801770263632;0.77845762052875245;0.93360083591766529
6606;0.14940153110728704;-6.3026053266922499;0.0046566339007443891;0.32778230491668098;0.0081995958161751731;178.23612054296686;165.15000000000001;165.15000000000001;0.098875354549736325;0.97876866716854449;0.096187204092520726;0.97281273508998234;0.51589314694337318;0.78282790600628382;0.40326665704873116;0.78168640044562476;0.93443213110364254
6760;0.14853682238141111;-6.4045698004147953;0.0045171782257981867;0.33222015445289921;0.0099308244876546367;181.85811727444451;169;169;0.10171753817480321;0.97951563643817774;0.099046354465652631;0.97373920213680254;0.5177387083006999;0.78636471629231008;0.40654388778986261;0.78522984909550952;0.93526809608694861
6918;0.14754014849075237;-6.5336715774915151;0.0043988518866738772;0.33573109832721293;0.0094946672758404911;185.46854626218581;172.94999999999999;172.94999999999999;0.10396612776184516;0.97966834362236355;0.10126384480457615;0.97400804458679924;0.51921485782093058;0.78887776039735169;0.40900857483010361;0.7877443579843868;0.93599892570841847
7079;0.14679260115944989;-6.5889119232377968;0.0042345383673483466;0.33944248316110542;0.007825622278613914;189.30983001505751;176.97500000000002;176.97500000000002;0.10650460396378643;0.98103837147873973;0.10390117531393082;0.97555571728391366;0.52096893576880432;0.79229908172179087;0.41217928150151223;0.79117823194822734;0.93687672333931538
7244;0.14578407942195545;-6.7578910673341692;0.0041467541526748891;0.34334874345317168;0.0088702164450072361;193.041175721082;181.09999999999999;181.09999999999999;0.10900879668214143;0.98078476669523451;0.10632966861041604;0.97542282684270465;0.52252486525844222;0.79478630927192495;0.41471111055036081;0.79366770487609917;0.93755948714895254
7413;0.14491181910610959;-6.8350791776857296;0.004003398662304509;0.34742185017232974;0.0069857460020730077;196.9505606968645;185.32500000000002;185.32500000000002;0.11179422625437137;0.98176252912033368;0.1091724623486882;0.9765483067102434;0.52432575954882488;0.79817836066181758;0.41792255524958949;0.79706660914238914;0.93832012826699629
